name,type,lat,lng,startYear,endYear,description
臺北稻荷神社,神社,25.0435,121.5085,1911,1945,臺灣唯一鄉社的稻荷神社，祭祀倉稻魂命（掌管財富、守護農業生產和民眾生命之神），神社前有石雕狐狸，是稻荷神社的神使。建物在二次大戰臺北大空襲被美軍大面積炸毀，今已不存在。
臺灣神社,神社,25.042,121.312,1901,1944,位在劍潭山山麓，為日治時期官方最早出資興建的神社；祭祀北白川宮能久親王，原為臺灣唯一官幣大社，1944年升格為臺灣神宮。
臺灣神宮,神社,25.042,121.312,1944,1945,臺灣神社於1944年6月17日升格為臺灣神宮，戰後建築被拆毀，原址後興建圓山大飯店。
淡水神社,神社,25.17887, 121.42844,1939,1946,無格社，祭祀北白川宮能久親王、明治天皇、大物主命、崇德天皇，後改為忠烈祠。
新竹神社,神社,24.79418,120.95243,1918,1948,原為神社，1920升格為縣社，1942列格為國幣小社，為台灣第一座國幣小社。現為新竹市定古蹟。
台中神社,神社,24.14569749,120.6848533,1912,1945,原為神社，1913升格為縣社，1942暨新竹神社后列格為國幣小社，1946年改為忠烈祠。
花蓮港神社,神社,23.98458632,121.6113773,1916,1981,
宜蘭神社,神社,24.74554161,121.7205095,1906,1945,
基隆神社,神社,25.13162487,121.7469375,1912,1969,原為基隆金刀比羅神社，後於1915年改為基隆神社，1936年升格為縣社。
苗栗神社,神社,24.55609238,120.8118892,1938,1945,1945年的時候自無格社升為縣社
桃園神社,神社,25.00629935,121.325286,1938,1945,1946年的時候自無格社升為縣社
北港神社,神社,23.5742212,120.3040111,1934,1964,1945年升格為縣社，為臺灣最晚升格的縣社，1964年本殿與拜殿遭燒毀。
淡水稻荷社,神社,25.17492342,121.4302275,1906,1938,1939年因為神社整合，於原地
臺南神社,神社,22.9895,120.2026,1923,1969,
金刀比羅社,神社,24.11085209,120.5231502,1916,1945,
五間厝神社,神社,23.70641578,120.4251017,1916,1945,
大崙社,神社,23.67945144,120.5328933,1923,1945,
大林金刀比羅社,神社,23.61271088,120.446757,1916,1945,
嘉義神社,神社,23.48317466,120.4603338,1915,1945,
南靖神社,神社,23.41883204,120.3765565,1924,1945,
開山神社,神社,22.9893364,120.1992368,1897,1945,
新町稻荷社,神社,22.99249077,120.1851594,1923,1945,
橋子頭社,神社,22.75492959,120.3066204,1931,1945,
岡山神社,神社,22.79888766,120.283731,1935,1945,
里港神社,神社,22.7818149,120.487102,1935,1945,
阿緱神社,神社,22.67924119,120.4852278,1919,1945,
海豐產土社,神社,22.70642365,120.5085255,1920,1945,
高雄神社,神社,22.62783657,120.2657422,1912,1945,
鳳山神社,神社,22.63058147,120.3555613,1935,1945,
後壁林社,神社,22.56264522,120.3269127,1928,1945,
潮州神社,神社,22.54920482,120.5425299,1936,1945,
東港神社,神社,22.46631752,120.433818,1935,1945,
溪州社,神社,22.49725042,120.5061827,1930,1945,
佳冬神社,神社,22.41330951,120.5543453,1936,1945,
月眉社,神社,24.3189946,120.6830911,1923,1945,
金瓜石社,神社,25.108668,121.8349079,1898,1945,
臺中稻荷社,神社,24.14071314,120.6747854,1897,1945,
末廣稻荷社,神社,25.1291677,121.7448002,1899,1945,
瑞芳社,神社,25.1114085,121.8341609,1906,1945,
臺東神社,神社,22.75562761,121.1349725,1911,1945,
末廣稻荷社,神社,22.67637316,120.484542,1912,1945,
吉野神社,神社,23.98816221,121.5490236,1912,1945,
南投稻荷社,神社,23.90490353,120.6789874,1912,1945,
豐田神社,神社,23.84033545,121.4927768,1915,1945,
林田神社,神社,23.75483901,121.459746,1910,1945,
六龜天滿祠,神社,22.99762837,120.6262875,1915,1945,
臺東稻荷社,神社,22.75734726,121.1425555,1916,1945,
加羅山社,神社,24.62556065,121.5235666,1918,1945,
阿里山神社,神社,23.5198862,120.8020008,1919,1945,
東澳祠,神社,24.52294916,121.8250607,1920,1945,
二結稻荷社,神社,24.70806835,121.759968,1921,1945,
鹿野村社,神社,22.90617722,121.1130265,1921,1945,
基隆天滿宮,神社,25.12985471,121.7431774,1921,1945,
惠美須社,神社,25.14665801,121.7536564,1922,1945,
水天社,神社,22.89096191,120.4725178,1922,1945,
八仙山社,神社,24.19367941,121.0066158,1923,1945,
Ёワヱ⑦社,神社,24.4918011,121.4278465,1923,1945,
佐久間神社,神社,24.18064491,121.4869965,1923,1945,
太麻里祠,神社,22.61441371,120.9952826,1923,1945,
大湳祠,神社,24.54561537,120.9624002,1923,1945,
豐滿社,神社,24.98136905,121.3068089,1924,1945,
崁腳山社,神社,25.16225352,121.6415387,1924,1945,
鼻子頭社,神社,25.14098332,121.7444128,1925,1945,
新高祠,神社,23.47074845,120.9491532,1925,1945,
南投社,神社,23.91425009,120.6673952,1926,1945,
埔里社,神社,23.96943661,120.9513309,1926,1945,
大安稻荷社,神社,25.0448708,121.5332397,1927,1945,
能高社,神社,23.97570247,120.9741964,1927,1945,
小濱祠,神社,23.10262746,121.3713923,1927,1945,
都歷祠,神社,23.02824406,121.3230569,1927,1945,
高原祠,神社,23.0004322,121.2762839,1927,1945,
都鑾祠,神社,22.87617186,121.2161004,1927,1945,
馬武窟祠,神社,22.97368476,121.2951578,1927,1945,
大濱祠,神社,23.21359508,121.3911147,1927,1945,
蘇澳金刀比羅社,神社,24.59560269,121.8419106,1927,1945,
彰化神社,神社,24.07905798,120.5380413,1927,1945,
新港祠,神社,23.10130396,121.3654517,1927,1945,
沙汝灣祠,神社,23.21118405,121.389777,1927,1945,
石寧埔祠,神社,23.24595503,121.4064447,1927,1945,
長濱祠,神社,23.29781344,121.4266954,1927,1945,
加走灣社,神社,23.31734058,121.4435356,1927,1945,
三間屋祠,神社,23.3571913,121.4602565,1927,1945,
姑子律祠,神社,23.41434552,121.4744939,1927,1945,
樟原祠,神社,23.41419147,121.4744854,1927,1945,
里壟社,神社,23.04658284,121.1531949,1927,1945,
烏日社,神社,24.10994542,120.6155842,1927,1945,
十八兒祠,神社,24.6288522,121.0804559,1927,1945,
大馬祠,神社,22.92990719,121.260505,1927,1945,
建功神社,神社,25.0343366,121.5042524,1928,1945,
苗栗稻荷社,神社,24.55994214,120.8137308,1928,1945,
玉里社,神社,23.33671776,121.3051806,1928,1945,
澎湖神社,神社,23.57228941,119.5671536,1928,1945,
玉井社,神社,23.1231408,120.4504824,1928,1945,
新化社,神社,23.03203531,120.3405497,1929,1945,
斗六神社,神社,23.71518066,120.5375207,1929,1945,
鵝鑾鼻社,神社,21.90891871,120.8414608,1929,1945,
射馬干祠,神社,22.71828017,121.040838,1930,1945,
知本祠,神社,22.70839344,121.0435673,1930,1945,
北絲鬮社,神社,22.8616196,121.0838173,1930,1945,
卑南祠,神社,22.79091116,121.1052374,1930,1945,
呂家祠,神社,22.77875935,121.0553564,1930,1945,
大南社,神社,22.76602331,121.0352079,1930,1945,
加陸蘭祠,神社,23.70897737,121.5390844,1930,1945,
北投社,神社,25.13906161,121.4985576,1930,1945,
灣裡社,神社,23.15641589,120.2827555,1930,1945,
總爺社,神社,23.18770759,120.2613593,1930,1945,
員林神社,神社,23.94987188,120.5989677,1931,1945,
臺北天滿宮社,神社,25.04475578,121.5069615,1931,1945,
三崁店社,神社,23.05606542,120.2358927,1931,1945,
高砂社,神社,24.00541409,121.5486154,1931,1945,
瑞穗祠,神社,23.4988652,121.365555,1931,1945,
觀音山社,神社,23.39683828,121.3489624,1931,1945,
織羅社,神社,23.45589579,121.387793,1931,1945,
日月潭玉島社,神社,23.85735368,120.9032067,1931,1945,
大武社,神社,22.35990354,120.8982724,1931,1945,
新高社,神社,23.83078711,120.7720267,1932,1945,
大溪社,神社,24.88357969,121.2795695,1932,1945,
德高祠,神社,23.07576951,121.1696041,1932,1945,
雷公火祠,神社,23.0080159,121.1649611,1932,1945,
大南八幡社,神社,24.23185425,120.7921637,1932,1945,
沙鹿社,神社,24.22937928,120.5475733,1932,1945,
霧ン岡社,神社,24.02179097,121.1216478,1932,1945,
池上祠,神社,23.10602022,121.2143564,1932,1945,
拔子社,神社,23.58020849,121.3679868,1933,1945,
大原祠,神社,22.97529346,121.1481044,1933,1945,
虎山社(車路墘社),神社,22.94160975,120.2222387,1933,1945,
旗尾社,神社,22.87928426,120.4843491,1933,1945,
大鳥社,神社,22.39519257,120.8823716,1934,1945,
次高社,神社,24.37348237,121.2312016,1934,1945,
久良木西社,神社,24.21092416,121.0119855,1934,1945,
山神社,神社,24.74039187,121.0799698,1935,1945,
豐原神社,神社,24.25023869,120.7145108,1936,1945,
銅門祠,神社,23.96743701,121.4849478,1936,1945,
瑞芳神社,神社,25.11485878,121.7936676,1936,1945,
北門神社,神社,23.17071837,120.1699892,1936,1945,
東石神社,神社,23.46913296,120.2449081,1936,1945,
南澳祠,神社,24.46868631,121.7917633,1936,1945,
旗山神社,神社,22.88714341,120.46735,1936,1945,
通霄神社,神社,24.49420184,120.6747149,1937,1945,
大竹高祠,神社,22.44494784,120.9304377,1937,1945,
成廣澳祠,神社,23.10130741,121.3715068,1937,1945,
東勢神社,神社,24.25005197,120.8279284,1937,1945,
新城社,神社,24.13069376,121.641315,1937,1945,
大港口祠,神社,23.47032866,121.4883147,1937,1945,
太巴塱祠,神社,23.6756696,121.4192421,1937,1945,
羅東神社,神社,24.67758005,121.7536501,1937,1945,
新莊神社,神社,25.04055549,121.448784,1937,1945,
清水神社,神社,24.2706289,120.572574,1937,1945,
新營神社,神社,23.3113517,120.3049344,1937,1945,
汐止神社,神社,25.07035941,121.650688,1937,1945,
嘎嘮吧灣祠,神社,23.03256292,121.2879221,1936,1945,
埋伏坪祠,神社,24.29019888,120.9027084,1937,1945,
太平祠,神社,23.40244973,121.3039503,1935,1945,
黃金神社,神社,25.1062395,121.8513559,1937,1945,
川中島社,神社,24.06516306,120.9618325,1937,1945,
竹山神社,神社,23.76050659,120.6616537,1938,1945,
濁水祠,神社,22.76484777,121.1333882,1934,1945,
虷子崙祠,神社,22.53421093,120.9539942,1934,1945,
圓山水神社,神社,25.10496279,121.5170798,1938,1945,
海山神社,神社,24.99889645,121.4718231,1938,1945,
角板山祠,神社,24.81798783,121.3427427,1938,1945,
北斗神社,神社,23.8769037,120.5155049,1938,1945,
文山神社,神社,24.95827273,121.5231663,1939,1945,
鹿港神社,神社,24.05364979,120.4320775,1939,1945,
中壢神社,神社,24.96457874,121.2020472,1939,1945,
竹南神社,神社,24.68660413,120.8650254,1940,1945,
